                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90281,                 3.0854,                0.35357,                 0.8789,                 1.0531,                0.32939,                0.35714,                0.28838,                0.15722,                 0.4745,                0.28571,                0.17956,                0.06913,                 2.1544,                    6.9,                0.57424,                 2.1694,                 2.0585,             0.00045745,             0.00045745,             0.00045745
                     37,                0.94319,                 2.9216,                0.31477,                0.95657,                 1.0854,                 0.2311,                0.21429,                0.19343,                0.10488,                0.45966,                0.14286,                0.09788,                0.04911,                 2.2354,                 7.1485,                0.60016,                 2.7043,                 2.0721,             0.00046339,             0.00046339,             0.00046339
                     38,                0.87081,                 2.7669,                0.28065,                0.63634,                0.97409,                 0.2311,                0.21429,                0.19343,                0.10488,                0.45966,                0.14286,                0.09788,                0.04911,                 2.2354,                 7.1485,                0.60016,                 2.7043,                 2.0721,             0.00046894,             0.00046894,             0.00046894
                     39,                0.92134,                 3.5004,                 0.4354,                0.61799,                 1.0743,                0.31896,                0.28571,                0.23662,                0.09029,                0.30771,                0.14286,                0.08221,                0.04542,                 2.5447,                 7.2266,                0.61797,                 2.8677,                 2.4947,             0.00047409,             0.00047409,             0.00047409
                     40,                0.95568,                 2.7124,                0.23232,                0.74177,                 1.1141,                0.31896,                0.28571,                0.23662,                0.09029,                0.30771,                0.14286,                0.08221,                0.04542,                 2.5447,                 7.2266,                0.61797,                 2.8677,                 2.4947,             0.00047884,             0.00047884,             0.00047884
                     41,                0.97153,                 2.9853,                0.25702,                0.72839,                 1.0032,                 0.4992,                0.21429,                0.24393,                0.08332,                0.33054,                0.14286,                0.09393,                0.03884,                 2.5657,                 7.3637,                0.63531,                 3.0594,                 2.4227,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.2933,                 2.6271,                0.30097,                0.93483,                 1.3324,                 0.4992,                0.21429,                0.24393,                0.08332,                0.33054,                0.14286,                0.09393,                0.03884,                 2.5657,                 7.3637,                0.63531,                 3.0594,                 2.4227,             0.00048716,             0.00048716,             0.00048716
                     43,                0.87173,                 2.7115,                0.34939,                0.72659,                 1.1085,                0.34149,                0.26086,                0.16832,                 0.0575,                0.28712,                0.21429,                0.09164,                0.02839,                 2.6651,                 7.5262,                0.65692,                  3.325,                 2.5605,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.0712,                 2.9742,                 0.3425,                0.79092,                 1.1173,                0.34149,                0.26086,                0.16832,                 0.0575,                0.28712,                0.21429,                0.09164,                0.02839,                 2.6651,                 7.5262,                0.65692,                  3.325,                 2.5605,              0.0004939,              0.0004939,              0.0004939
                     45,                0.71012,                 2.2556,                0.28862,                0.62609,                0.94281,                0.35574,                0.27686,                0.17286,                0.05094,                0.28777,                0.21429,                0.09655,                0.03149,                 2.6937,                 7.5741,                0.65971,                 3.3369,                 2.6372,             0.00049667,             0.00049667,             0.00049667
                     46,                0.79101,                 2.4269,                0.33716,                0.65463,                 1.0265,                0.35574,                0.27686,                0.17286,                0.05094,                0.28777,                0.21429,                0.09655,                0.03149,                 2.6937,                 7.5741,                0.65971,                 3.3369,                 2.6372,             0.00049905,             0.00049905,             0.00049905
                     47,                  0.865,                 2.6862,                 0.2877,                0.85576,                 1.0456,                0.30127,                0.28571,                0.19036,                0.07017,                0.39998,                0.14286,                 0.0932,                0.03176,                 2.6191,                 7.5835,                0.65299,                 3.2029,                  2.532,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.0352,                 3.6911,                0.33936,                0.86877,                 1.2011,                0.30127,                0.28571,                0.19036,                0.07017,                0.39998,                0.14286,                 0.0932,                0.03176,                 2.6191,                 7.5835,                0.65299,                 3.2029,                  2.532,             0.00050262,             0.00050262,             0.00050262
                     49,                 0.9049,                 2.4286,                0.31194,                0.57902,                 1.1408,                0.34382,                0.28571,                0.22593,                0.08932,                0.36292,                0.14286,                0.08668,                0.04324,                 2.5165,                 7.6266,                0.64298,                 2.9689,                 2.3669,             0.00050381,             0.00050381,             0.00050381
                     50,                 0.6879,                 2.7065,                0.33903,                0.57993,                 1.0621,                0.34382,                0.28571,                0.22593,                0.08932,                0.36292,                0.14286,                0.08668,                0.04324,                 2.5165,                 7.6266,                0.64298,                 2.9689,                 2.3669,              0.0005046,              0.0005046,              0.0005046
                     51,                0.77732,                 2.8256,                0.36721,                0.64944,                  1.007,                0.39721,                0.28571,                0.28237,                0.13548,                0.39991,                0.14281,                0.12721,                0.07037,                 2.5037,                 7.7157,                0.64734,                 3.1892,                 2.3811,               0.000505,               0.000505,               0.000505
                     52,                 1.2666,                 3.3961,                 0.4889,                 1.0722,                 1.1965,                0.39721,                0.28571,                0.28237,                0.13548,                0.39991,                0.14281,                0.12721,                0.07037,                 2.5037,                 7.7157,                0.64734,                 3.1892,                 2.3811,               0.000505,               0.000505,               0.000505
                     53,                0.65464,                 1.9125,                0.27273,                0.49847,                0.97876,                0.39721,                0.28571,                0.28237,                0.13548,                0.39991,                0.14281,                0.12721,                0.07037,                 2.5037,                 7.7157,                0.64734,                 3.1892,                 2.3811,             0.00050461,             0.00050461,             0.00050461
                     54,                0.76619,                 2.5106,                0.34563,                0.56932,                 1.0446,                 0.3673,                0.28571,                0.29486,                0.14737,                0.19481,                0.14286,                0.11958,                0.06291,                 2.3326,                 7.7546,                0.67134,                 3.1119,                 2.1619,             0.00050382,             0.00050382,             0.00050382
                     55,                0.90682,                  3.307,                0.31404,                0.70238,                0.98014,                 0.3673,                0.28571,                0.29486,                0.14737,                0.19481,                0.14286,                0.11958,                0.06291,                 2.3326,                 7.7546,                0.67134,                 3.1119,                 2.1619,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.0325,                 2.0941,                0.31733,                 0.9598,                 1.1599,                 0.3673,                0.28571,                0.29486,                0.14737,                0.19481,                0.14286,                0.11958,                0.06291,                 2.3326,                 7.7546,                0.67134,                 3.1119,                 2.1619,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.1642,                 5.2101,                0.25942,                 1.3581,                 1.4485,                0.68379,                0.35714,                0.50508,                0.19616,                0.45421,                0.14286,                0.13653,                0.05063,                 2.2555,                 7.7487,                0.68691,                 3.0899,                  2.085,             0.00049907,             0.00049907,             0.00049907
                     58,                0.80389,                 2.3564,                0.29218,                 0.7124,                   1.13,                0.68379,                0.35714,                0.50508,                0.19616,                0.45421,                0.14286,                0.13653,                0.05063,                 2.2555,                 7.7487,                0.68691,                 3.0899,                  2.085,              0.0004967,              0.0004967,              0.0004967
                     59,                0.71244,                 1.9504,                0.28436,                0.60103,                 1.0222,                0.68379,                0.35714,                0.50508,                0.19616,                0.45421,                0.14286,                0.13653,                0.05063,                 2.2555,                 7.7487,                0.68691,                 3.0899,                  2.085,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.2429,                 3.6582,                0.44342,                0.89335,                 1.3418,                0.76995,                0.47986,                0.51267,                 0.2108,                0.34594,                0.21429,                0.19304,                0.05295,                 1.9915,                 7.7021,                0.69271,                 3.0509,                 1.9352,             0.00049076,             0.00049076,             0.00049076
                     61,                0.84381,                  2.891,                0.29432,                 0.6833,                 1.0223,                0.76995,                0.47986,                0.51267,                 0.2108,                0.34594,                0.21429,                0.19304,                0.05295,                 1.9915,                 7.7021,                0.69271,                 3.0509,                 1.9352,              0.0004872,              0.0004872,              0.0004872
                     62,                0.85777,                 2.6583,                0.30396,                 0.7332,                 1.1127,                0.76995,                0.47986,                0.51267,                 0.2108,                0.34594,                0.21429,                0.19304,                0.05295,                 1.9915,                 7.7021,                0.69271,                 3.0509,                 1.9352,             0.00048324,             0.00048324,             0.00048324
                     63,                0.73754,                 2.4126,                0.30389,                0.63464,                 1.1007,                0.72341,                0.42857,                0.45467,                0.22757,                0.47192,                0.28571,                0.24318,                0.08266,                 1.9189,                 7.7387,                0.70128,                 2.9054,                 1.9059,             0.00047889,             0.00047889,             0.00047889
                     64,                 0.8974,                 2.8851,                0.33823,                0.77218,                 1.1058,                0.72341,                0.42857,                0.45467,                0.22757,                0.47192,                0.28571,                0.24318,                0.08266,                 1.9189,                 7.7387,                0.70128,                 2.9054,                 1.9059,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.1392,                 3.9556,                0.29538,                0.92032,                 1.4026,                0.72341,                0.42857,                0.45467,                0.22757,                0.47192,                0.28571,                0.24318,                0.08266,                 1.9189,                 7.7387,                0.70128,                 2.9054,                 1.9059,             0.00046899,             0.00046899,             0.00046899
                     66,                0.69531,                 2.1964,                0.39611,                0.67186,                  1.081,                0.53374,                0.42857,                0.38216,                0.21435,                0.36257,                0.28571,                0.22879,                0.12033,                 1.8378,                 7.7661,                0.68193,                  2.807,                 1.8142,             0.00046345,             0.00046345,             0.00046345
                     67,                0.74022,                 2.0158,                0.30759,                0.67954,                0.99898,                0.53374,                0.42857,                0.38216,                0.21435,                0.36257,                0.28571,                0.22879,                0.12033,                 1.8378,                 7.7661,                0.68193,                  2.807,                 1.8142,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.1404,                 2.5894,                0.20499,                0.86238,                 1.3432,                0.53374,                0.42857,                0.38216,                0.21435,                0.36257,                0.28571,                0.22879,                0.12033,                 1.8378,                 7.7661,                0.68193,                  2.807,                 1.8142,             0.00045118,             0.00045118,             0.00045118
                     69,                0.89428,                 2.4568,                0.32527,                0.76725,                 1.0078,                0.67437,                0.35714,                0.40524,                 0.2409,                0.53773,                0.28571,                 0.2779,                0.10156,                 1.9256,                 7.8657,                0.71159,                 2.6218,                 1.8376,             0.00044445,             0.00044445,             0.00044445
                     70,                0.77947,                 2.7733,                0.37108,                0.83398,                 1.0294,                0.67437,                0.35714,                0.40524,                 0.2409,                0.53773,                0.28571,                 0.2779,                0.10156,                 1.9256,                 7.8657,                0.71159,                 2.6218,                 1.8376,             0.00043732,             0.00043732,             0.00043732
                     71,                0.65864,                  2.304,                0.25278,                0.77505,                0.96221,                0.67437,                0.35714,                0.40524,                 0.2409,                0.53773,                0.28571,                 0.2779,                0.10156,                 1.9256,                 7.8657,                0.71159,                 2.6218,                 1.8376,              0.0004298,              0.0004298,              0.0004298
                     72,                0.69708,                 1.8509,                0.32171,                0.58553,                0.98843,                0.46274,                    0.5,                0.43153,                0.27523,                0.53828,                0.21429,                0.21854,                0.06762,                 1.9828,                 8.0349,                0.71886,                 2.5208,                 1.8404,             0.00042188,             0.00042188,             0.00042188
                     73,                0.75107,                 2.1191,                 0.3012,                0.54717,                0.97907,                0.46274,                    0.5,                0.43153,                0.27523,                0.53828,                0.21429,                0.21854,                0.06762,                 1.9828,                 8.0349,                0.71886,                 2.5208,                 1.8404,             0.00041357,             0.00041357,             0.00041357
                     74,                0.82066,                 2.4652,                0.32322,                0.61162,                 1.0908,                0.46274,                    0.5,                0.43153,                0.27523,                0.53828,                0.21429,                0.21854,                0.06762,                 1.9828,                 8.0349,                0.71886,                 2.5208,                 1.8404,             0.00040486,             0.00040486,             0.00040486
                     75,                0.71687,                 1.5966,                0.24184,                0.56598,                 1.0568,                0.60473,                0.35714,                0.43512,                 0.2801,                0.61318,                0.21429,                0.24156,                0.06261,                 1.9832,                 8.1293,                0.72308,                 2.5046,                 1.8262,             0.00039575,             0.00039575,             0.00039575
                     76,                0.96592,                 3.9319,                0.32115,                0.93747,                  1.266,                0.60473,                0.35714,                0.43512,                 0.2801,                0.61318,                0.21429,                0.24156,                0.06261,                 1.9832,                 8.1293,                0.72308,                 2.5046,                 1.8262,             0.00038625,             0.00038625,             0.00038625
                     77,                 0.6807,                 1.4359,                0.33394,                  0.537,                 0.9062,                0.60473,                0.35714,                0.43512,                 0.2801,                0.61318,                0.21429,                0.24156,                0.06261,                 1.9832,                 8.1293,                0.72308,                 2.5046,                 1.8262,             0.00037635,             0.00037635,             0.00037635
                     78,                0.80017,                 1.6945,                0.26285,                0.68337,                 1.0488,                0.53823,                0.42857,                0.42773,                0.26886,                0.53728,                0.21429,                 0.2094,                0.06781,                 1.9339,                 8.0966,                 0.7136,                 2.4402,                 1.7697,             0.00036606,             0.00036606,             0.00036606
