eye_status,hand_status,timestamp
"[WARNING] doze counter 88, dozing for 3.83s",both hands are in the zone,2024-08-27 17:30:21.901912
"[WARNING] doze counter 89, dozing for 3.91s",both hands are in the zone,2024-08-27 17:30:21.984737
"[WARNING] doze counter 89, dozing for 3.99s",both hands are in the zone,2024-08-27 17:30:22.061252
"[WARNING] doze counter 89, dozing for 4.06s",both hands are in the zone,2024-08-27 17:30:22.130116
"[WARNING] doze counter 89, dozing for 4.13s",both hands are in the zone,2024-08-27 17:30:22.196269
"[WARNING] doze counter 88, dozing for 4.20s",both hands are in the zone,2024-08-27 17:30:22.274384
"[WARNING] doze counter 87, dozing for 4.29s",both hands are in the zone,2024-08-27 17:30:22.357245
"[WARNING] doze counter 87, dozing for 4.36s",both hands are in the zone,2024-08-27 17:30:22.428828
"[WARNING] doze counter 88, dozing for 4.44s",both hands are in the zone,2024-08-27 17:30:22.506092
"[WARNING] doze counter 89, dozing for 4.52s",both hands are in the zone,2024-08-27 17:30:22.588355
"[WARNING] doze counter 90, dozing for 4.60s",both hands are in the zone,2024-08-27 17:30:22.670595
"[WARNING] doze counter 91, dozing for 4.68s",both hands are in the zone,2024-08-27 17:30:22.754282
"[WARNING] doze counter 92, dozing for 4.77s",both hands are in the zone,2024-08-27 17:30:22.837870
"[WARNING] doze counter 93, dozing for 4.85s",both hands are in the zone,2024-08-27 17:30:22.921360
"[WARNING] doze counter 94, dozing for 4.93s",both hands are in the zone,2024-08-27 17:30:22.998462
"[WARNING] doze counter 95, dozing for 5.01s",both hands are in the zone,2024-08-27 17:30:23.079142
"[WARNING] doze counter 96, dozing for 5.09s",both hands are in the zone,2024-08-27 17:30:23.156957
"[WARNING] doze counter 97, dozing for 5.17s",both hands are in the zone,2024-08-27 17:30:23.239201
"[WARNING] doze counter 98, dozing for 5.25s",both hands are in the zone,2024-08-27 17:30:23.321944
"[WARNING] doze counter 99, dozing for 5.33s",both hands are in the zone,2024-08-27 17:30:23.402333
"[WARNING] doze counter 100, dozing for 5.41s",both hands are in the zone,2024-08-27 17:30:23.479876
"[WARNING] doze counter 101, dozing for 5.49s",both hands are in the zone,2024-08-27 17:30:23.561074
"[WARNING] doze counter 102, dozing for 5.58s",both hands are in the zone,2024-08-27 17:30:23.644872
